Key,English ,Russian
Employee.State.Idle,Idle,Ожидает
Employee.State.MovingTo,Moving,В пути
Employee.State.PerformingTask,Working,Работает
Employee.State.ReturningToBase,Returning to base,Возвращается на базу
Employee.State.Fleeing,Fleeing,Убегает
Employee.Name.Fallback,Employee,Сотрудник
Employee.Destination.None,-,-
Employee.Label.Name,NAME,ИМЯ
Employee.Label.Goal,GOAL,ЦЕЛЬ
Employee.Label.Destination,DESTINATION,МЕСТО ПРИБЫТИЯ
Employee.Label.Unavailable,Unavailable,Недоступно
Employee.Callsign.Format,MOS #{0},МОС №{0}
