Key,English ,Russian
ZoneMenu.Treatment,Clean,Очистка
ZoneMenu.ChangeLightbulb,Change lightbulb,Заменить лампочку
ZoneMenu.ResolveEmergency,Resolve emergency,Устранить ЧП
ZoneMenu.MoveHere,Move here,Идти сюда
ZoneMenu.Cancel,Cancel,Отмена
Resource.Iodine,Iodine-resorcinol,Йод-резорцин
Resource.Lightbulb,Lightbulb,Лампочка
Window.Orders.Label,Orders,Приказы
Window.Orders.Continue,CONTINUE,ПРОДОЛЖИТЬ
Window.Orders.Stop,STOP,СТОП
Window.Orders.Return,RETURN TO BASE,ВЕРНУТЬ НА БАЗУ
Window.Inventory.Label,Inventory,Инвентарь
Window.Employees.Label,Employees,Сотрудники
Window.Map.Label.Floor,FLOOR,ЭТАЖ
Window.Map.Label.Floor1Button,Floor 1,Этаж 1
Window.Map.Label.Floor2Button,Floor 2,Этаж 2
Window.Header.Range,TARGET RANGE: ,ЦЕЛЕВОЙ ДИАПАЗОН: 
Window.Header.Infection,INFECTION LEVEL,ЗАРАЖЕНИЕ
Window.Header.Night,NIGHT ,НОЧЬ 
Window.Header.NightOver,OVER,ЗКНЧ
Window.Header.Kontur,C.O.N.T.O.U.R.,К.О.Н.Т.У.Р.
Window.Header.Obj,OBJ 1024,ОБКТ 1024
Window.Legend.Camera,CAMERA,КАМЕРА
Window.Legend.Employee,EMPLOYEE,РАБОТНИК
