Key,English ,Russian
Camera.Name.Camera1,Cam 1 - Room 1,Кам 1 - Кв. 1
Camera.Name.Camera2,Cam 2 - Room 2,Кам 2 - Кв. 2
Camera.Name.Camera3,Cam 3 - Room 3,Кам 3 - Кв. 3
Camera.Name.Camera4,Cam 4 - Room 4,Кам 4 - Кв. 4
Camera.Name.Camera5,Cam 5 - Room 5,Кам 5 - Кв. 5
Camera.Name.Camera6,Cam 6 - Room 6,Кам 6 - Кв. 6
Camera.Name.Camera7,Cam 7 - Room 7,Кам 7 - Кв. 7
Camera.Name.Camera8,Cam 8 - Room 8,Кам 8 - Кв. 8
Camera.Name.Camera9,Cam 9 - Room 9,Кам 9 - Кв. 9
Camera.Name.Camera10,Cam 10 - Room 10,Кам 10 - Кв. 10
