Key,English,Russian
PauseMenu.PauseLabel,Paused,Пауза
PauseMenu.ResumeButton,Resume,Продолжить
PauseMenu.SettingsButton,Settings,Настройки
PauseMenu.QuitToMenuButton,Quit to menu,Выйти в меню
PauseMenu.QuitPopUp.Label,Attention!,Внимание!
PauseMenu.QuitPopUp.Description,This day's progress will be lost. Do you want to quit?,Прогресс текущего дня будет потерян. Выйти?
PauseMenu.QuitPopUp.Yes,Yes,Да
PauseMenu.QuitPopUp.No,No,Нет
Settings.Label,Settings,Настройки
Settings.MasterVolume,Master volume,Общая громкость
Settings.MusicVolume,Music volume,Громкость музыки
Settings.SFXVolume,Sounds volume,Громкость звуков
Settings.Language,Language,Язык
Settings.Back,Back,Назад
